"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent Population with At Least Bachelor's Degree","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"County","Clay","TX","48077","=""48077""","22.36","2020-2024","2022","Census","Texas (State)"
"County","Cochran","TX","48079","=""48079""","8.23","2020-2024","2022","Census","Texas (State)"
"County","Coke","TX","48081","=""48081""","22.97","2020-2024","2022","Census","Texas (State)"
"County","Coleman","TX","48083","=""48083""","16.82","2020-2024","2022","Census","Texas (State)"
"County","Collin","TX","48085","=""48085""","56.22","2020-2024","2022","Census","Texas (State)"
"County","Collingsworth","TX","48087","=""48087""","25.59","2020-2024","2022","Census","Texas (State)"
"County","Colorado","TX","48089","=""48089""","22.93","2020-2024","2022","Census","Texas (State)"
"County","Comal","TX","48091","=""48091""","43.35","2020-2024","2022","Census","Texas (State)"
"County","Comanche","TX","48093","=""48093""","21.36","2020-2024","2022","Census","Texas (State)"
"County","Concho","TX","48095","=""48095""","14.06","2020-2024","2022","Census","Texas (State)"
"County","Cooke","TX","48097","=""48097""","23.65","2020-2024","2022","Census","Texas (State)"
"County","Coryell","TX","48099","=""48099""","19.35","2020-2024","2022","Census","Texas (State)"
"County","Cottle","TX","48101","=""48101""","21.06","2020-2024","2022","Census","Texas (State)"
"County","Crane","TX","48103","=""48103""","12.61","2020-2024","2022","Census","Texas (State)"
"County","Crockett","TX","48105","=""48105""","10.68","2020-2024","2022","Census","Texas (State)"
"County","Crosby","TX","48107","=""48107""","15.39","2020-2024","2022","Census","Texas (State)"
"County","Culberson","TX","48109","=""48109""","15.76","2020-2024","2022","Census","Texas (State)"
"County","Dallam","TX","48111","=""48111""","11.93","2020-2024","2022","Census","Texas (State)"
"County","Dallas","TX","48113","=""48113""","35.74","2020-2024","2022","Census","Texas (State)"
"County","Dawson","TX","48115","=""48115""","12.73","2020-2024","2022","Census","Texas (State)"
"County","Deaf Smith","TX","48117","=""48117""","11.43","2020-2024","2022","Census","Texas (State)"
"County","Delta","TX","48119","=""48119""","14.92","2020-2024","2022","Census","Texas (State)"
"County","Denton","TX","48121","=""48121""","49.44","2020-2024","2022","Census","Texas (State)"
"County","DeWitt","TX","48123","=""48123""","16.87","2020-2024","2022","Census","Texas (State)"
"County","Dickens","TX","48125","=""48125""","18.00","2020-2024","2022","Census","Texas (State)"
"County","Dimmit","TX","48127","=""48127""","9.79","2020-2024","2022","Census","Texas (State)"
"County","Donley","TX","48129","=""48129""","16.56","2020-2024","2022","Census","Texas (State)"
"County","Duval","TX","48131","=""48131""","6.84","2020-2024","2022","Census","Texas (State)"
"County","Eastland","TX","48133","=""48133""","21.82","2020-2024","2022","Census","Texas (State)"
"County","Ector","TX","48135","=""48135""","17.63","2020-2024","2022","Census","Texas (State)"
"County","Edwards","TX","48137","=""48137""","26.12","2020-2024","2022","Census","Texas (State)"
"County","Ellis","TX","48139","=""48139""","30.10","2020-2024","2022","Census","Texas (State)"
"County","El Paso","TX","48141","=""48141""","25.95","2020-2024","2022","Census","Texas (State)"
"County","Erath","TX","48143","=""48143""","32.05","2020-2024","2022","Census","Texas (State)"
"County","Falls","TX","48145","=""48145""","19.50","2020-2024","2022","Census","Texas (State)"
"County","Fannin","TX","48147","=""48147""","19.48","2020-2024","2022","Census","Texas (State)"
"County","Fayette","TX","48149","=""48149""","27.45","2020-2024","2022","Census","Texas (State)"
"County","Fisher","TX","48151","=""48151""","17.14","2020-2024","2022","Census","Texas (State)"
"County","Floyd","TX","48153","=""48153""","14.91","2020-2024","2022","Census","Texas (State)"
"County","Foard","TX","48155","=""48155""","20.62","2020-2024","2022","Census","Texas (State)"
"County","Fort Bend","TX","48157","=""48157""","50.23","2020-2024","2022","Census","Texas (State)"
"County","Franklin","TX","48159","=""48159""","27.77","2020-2024","2022","Census","Texas (State)"
"County","Freestone","TX","48161","=""48161""","16.54","2020-2024","2022","Census","Texas (State)"
"County","Frio","TX","48163","=""48163""","11.95","2020-2024","2022","Census","Texas (State)"
"County","Gaines","TX","48165","=""48165""","11.72","2020-2024","2022","Census","Texas (State)"
"County","Galveston","TX","48167","=""48167""","34.79","2020-2024","2022","Census","Texas (State)"
"County","Garza","TX","48169","=""48169""","10.22","2020-2024","2022","Census","Texas (State)"
"County","Gillespie","TX","48171","=""48171""","37.19","2020-2024","2022","Census","Texas (State)"
"County","Glasscock","TX","48173","=""48173""","29.25","2020-2024","2022","Census","Texas (State)"
"County","Goliad","TX","48175","=""48175""","21.42","2020-2024","2022","Census","Texas (State)"
"County","Gonzales","TX","48177","=""48177""","11.92","2020-2024","2022","Census","Texas (State)"
"County","Gray","TX","48179","=""48179""","16.23","2020-2024","2022","Census","Texas (State)"
"County","Grayson","TX","48181","=""48181""","23.88","2020-2024","2022","Census","Texas (State)"
"County","Gregg","TX","48183","=""48183""","22.91","2020-2024","2022","Census","Texas (State)"
"County","Grimes","TX","48185","=""48185""","19.71","2020-2024","2022","Census","Texas (State)"
"County","Guadalupe","TX","48187","=""48187""","31.43","2020-2024","2022","Census","Texas (State)"
"County","Hale","TX","48189","=""48189""","15.31","2020-2024","2022","Census","Texas (State)"
"County","Hall","TX","48191","=""48191""","21.45","2020-2024","2022","Census","Texas (State)"
"County","Hamilton","TX","48193","=""48193""","26.78","2020-2024","2022","Census","Texas (State)"
"County","Hansford","TX","48195","=""48195""","36.43","2020-2024","2022","Census","Texas (State)"
"County","Hardeman","TX","48197","=""48197""","16.80","2020-2024","2022","Census","Texas (State)"
"County","Hardin","TX","48199","=""48199""","20.98","2020-2024","2022","Census","Texas (State)"
"County","Harris","TX","48201","=""48201""","34.24","2020-2024","2022","Census","Texas (State)"
"County","Harrison","TX","48203","=""48203""","22.67","2020-2024","2022","Census","Texas (State)"
"County","Hartley","TX","48205","=""48205""","20.72","2020-2024","2022","Census","Texas (State)"
"County","Haskell","TX","48207","=""48207""","22.81","2020-2024","2022","Census","Texas (State)"
"County","Hays","TX","48209","=""48209""","43.15","2020-2024","2022","Census","Texas (State)"
"County","Hemphill","TX","48211","=""48211""","21.94","2020-2024","2022","Census","Texas (State)"
"County","Henderson","TX","48213","=""48213""","20.67","2020-2024","2022","Census","Texas (State)"
"County","Hidalgo","TX","48215","=""48215""","20.63","2020-2024","2022","Census","Texas (State)"
"County","Hill","TX","48217","=""48217""","17.99","2020-2024","2022","Census","Texas (State)"
"County","Hockley","TX","48219","=""48219""","18.92","2020-2024","2022","Census","Texas (State)"
"County","Hood","TX","48221","=""48221""","32.95","2020-2024","2022","Census","Texas (State)"
"County","Hopkins","TX","48223","=""48223""","21.88","2020-2024","2022","Census","Texas (State)"
"County","Houston","TX","48225","=""48225""","14.80","2020-2024","2022","Census","Texas (State)"
"County","Howard","TX","48227","=""48227""","15.69","2020-2024","2022","Census","Texas (State)"
"County","Hudspeth","TX","48229","=""48229""","9.59","2020-2024","2022","Census","Texas (State)"
"County","Hunt","TX","48231","=""48231""","22.62","2020-2024","2022","Census","Texas (State)"
"County","Hutchinson","TX","48233","=""48233""","16.77","2020-2024","2022","Census","Texas (State)"
"County","Irion","TX","48235","=""48235""","28.32","2020-2024","2022","Census","Texas (State)"
"County","Jack","TX","48237","=""48237""","14.50","2020-2024","2022","Census","Texas (State)"
"County","Jackson","TX","48239","=""48239""","16.59","2020-2024","2022","Census","Texas (State)"
"County","Jasper","TX","48241","=""48241""","14.03","2020-2024","2022","Census","Texas (State)"
"County","Jeff Davis","TX","48243","=""48243""","35.91","2020-2024","2022","Census","Texas (State)"
"County","Jefferson","TX","48245","=""48245""","19.73","2020-2024","2022","Census","Texas (State)"
"County","Jim Hogg","TX","48247","=""48247""","14.81","2020-2024","2022","Census","Texas (State)"
"County","Jim Wells","TX","48249","=""48249""","16.32","2020-2024","2022","Census","Texas (State)"
"County","Johnson","TX","48251","=""48251""","25.22","2020-2024","2022","Census","Texas (State)"
"County","Jones","TX","48253","=""48253""","11.99","2020-2024","2022","Census","Texas (State)"
"County","Karnes","TX","48255","=""48255""","14.30","2020-2024","2022","Census","Texas (State)"
"County","Kaufman","TX","48257","=""48257""","26.50","2020-2024","2022","Census","Texas (State)"
"County","Kendall","TX","48259","=""48259""","48.90","2020-2024","2022","Census","Texas (State)"
"County","Kenedy","TX","48261","=""48261""","13.01","2020-2024","2022","Census","Texas (State)"
"County","Kent","TX","48263","=""48263""","26.28","2020-2024","2022","Census","Texas (State)"
"County","Kerr","TX","48265","=""48265""","31.32","2020-2024","2022","Census","Texas (State)"
"County","Kimble","TX","48267","=""48267""","27.11","2020-2024","2022","Census","Texas (State)"
"County","King","TX","48269","=""48269""","38.89","2020-2024","2022","Census","Texas (State)"
"County","Kinney","TX","48271","=""48271""","11.82","2020-2024","2022","Census","Texas (State)"
"County","Kleberg","TX","48273","=""48273""","23.22","2020-2024","2022","Census","Texas (State)"
"County","Knox","TX","48275","=""48275""","13.51","2020-2024","2022","Census","Texas (State)"
"County","Lamar","TX","48277","=""48277""","21.57","2020-2024","2022","Census","Texas (State)"
"County","Lamb","TX","48279","=""48279""","14.32","2020-2024","2022","Census","Texas (State)"
"County","Lampasas","TX","48281","=""48281""","24.27","2020-2024","2022","Census","Texas (State)"
"County","La Salle","TX","48283","=""48283""","11.81","2020-2024","2022","Census","Texas (State)"
"County","Lavaca","TX","48285","=""48285""","22.23","2020-2024","2022","Census","Texas (State)"
"County","Lee","TX","48287","=""48287""","20.88","2020-2024","2022","Census","Texas (State)"
"County","Leon","TX","48289","=""48289""","18.55","2020-2024","2022","Census","Texas (State)"
"County","Liberty","TX","48291","=""48291""","11.85","2020-2024","2022","Census","Texas (State)"
"County","Limestone","TX","48293","=""48293""","18.53","2020-2024","2022","Census","Texas (State)"
"County","Lipscomb","TX","48295","=""48295""","22.35","2020-2024","2022","Census","Texas (State)"
"County","Live Oak","TX","48297","=""48297""","15.92","2020-2024","2022","Census","Texas (State)"
"County","Llano","TX","48299","=""48299""","32.36","2020-2024","2022","Census","Texas (State)"
"County","Loving","TX","48301","=""48301""","0.00","2020-2024","2022","Census","Texas (State)"
"County","Lubbock","TX","48303","=""48303""","33.44","2020-2024","2022","Census","Texas (State)"
"County","Lynn","TX","48305","=""48305""","26.77","2020-2024","2022","Census","Texas (State)"
"County","McCulloch","TX","48307","=""48307""","23.93","2020-2024","2022","Census","Texas (State)"
"County","McLennan","TX","48309","=""48309""","28.69","2020-2024","2022","Census","Texas (State)"
"County","McMullen","TX","48311","=""48311""","20.05","2020-2024","2022","Census","Texas (State)"
"County","Madison","TX","48313","=""48313""","18.35","2020-2024","2022","Census","Texas (State)"
"County","Marion","TX","48315","=""48315""","15.60","2020-2024","2022","Census","Texas (State)"
"County","Martin","TX","48317","=""48317""","20.94","2020-2024","2022","Census","Texas (State)"
"County","Mason","TX","48319","=""48319""","38.85","2020-2024","2022","Census","Texas (State)"
"County","Matagorda","TX","48321","=""48321""","22.16","2020-2024","2022","Census","Texas (State)"
"County","Maverick","TX","48323","=""48323""","14.27","2020-2024","2022","Census","Texas (State)"
"County","Medina","TX","48325","=""48325""","23.12","2020-2024","2022","Census","Texas (State)"
"County","Menard","TX","48327","=""48327""","23.98","2020-2024","2022","Census","Texas (State)"
"County","Midland","TX","48329","=""48329""","31.03","2020-2024","2022","Census","Texas (State)"
"County","Milam","TX","48331","=""48331""","20.55","2020-2024","2022","Census","Texas (State)"
"County","Mills","TX","48333","=""48333""","27.89","2020-2024","2022","Census","Texas (State)"
"County","Mitchell","TX","48335","=""48335""","11.50","2020-2024","2022","Census","Texas (State)"
"County","Montague","TX","48337","=""48337""","18.87","2020-2024","2022","Census","Texas (State)"
"County","Montgomery","TX","48339","=""48339""","38.79","2020-2024","2022","Census","Texas (State)"
"County","Moore","TX","48341","=""48341""","12.30","2020-2024","2022","Census","Texas (State)"
"County","Morris","TX","48343","=""48343""","15.95","2020-2024","2022","Census","Texas (State)"
"County","Motley","TX","48345","=""48345""","19.27","2020-2024","2022","Census","Texas (State)"
"County","Nacogdoches","TX","48347","=""48347""","28.19","2020-2024","2022","Census","Texas (State)"
"County","Navarro","TX","48349","=""48349""","18.23","2020-2024","2022","Census","Texas (State)"
"County","Newton","TX","48351","=""48351""","6.81","2020-2024","2022","Census","Texas (State)"
"County","Nolan","TX","48353","=""48353""","16.05","2020-2024","2022","Census","Texas (State)"
"County","Nueces","TX","48355","=""48355""","23.81","2020-2024","2022","Census","Texas (State)"
"County","Ochiltree","TX","48357","=""48357""","20.70","2020-2024","2022","Census","Texas (State)"
"County","Oldham","TX","48359","=""48359""","21.42","2020-2024","2022","Census","Texas (State)"
"County","Orange","TX","48361","=""48361""","17.71","2020-2024","2022","Census","Texas (State)"
"County","Palo Pinto","TX","48363","=""48363""","17.81","2020-2024","2022","Census","Texas (State)"
"County","Panola","TX","48365","=""48365""","17.03","2020-2024","2022","Census","Texas (State)"
"County","Parker","TX","48367","=""48367""","32.33","2020-2024","2022","Census","Texas (State)"
"County","Parmer","TX","48369","=""48369""","16.95","2020-2024","2022","Census","Texas (State)"
"County","Pecos","TX","48371","=""48371""","14.07","2020-2024","2022","Census","Texas (State)"
"County","Polk","TX","48373","=""48373""","16.17","2020-2024","2022","Census","Texas (State)"
"County","Potter","TX","48375","=""48375""","18.57","2020-2024","2022","Census","Texas (State)"
"County","Presidio","TX","48377","=""48377""","28.02","2020-2024","2022","Census","Texas (State)"
"County","Rains","TX","48379","=""48379""","20.88","2020-2024","2022","Census","Texas (State)"
"County","Randall","TX","48381","=""48381""","33.68","2020-2024","2022","Census","Texas (State)"
"County","Reagan","TX","48383","=""48383""","13.59","2020-2024","2022","Census","Texas (State)"
"County","Real","TX","48385","=""48385""","21.12","2020-2024","2022","Census","Texas (State)"
"County","Red River","TX","48387","=""48387""","15.42","2020-2024","2022","Census","Texas (State)"
"County","Reeves","TX","48389","=""48389""","7.40","2020-2024","2022","Census","Texas (State)"
"County","Refugio","TX","48391","=""48391""","14.01","2020-2024","2022","Census","Texas (State)"
"County","Roberts","TX","48393","=""48393""","20.51","2020-2024","2022","Census","Texas (State)"
"County","Robertson","TX","48395","=""48395""","22.04","2020-2024","2022","Census","Texas (State)"
"County","Rockwall","TX","48397","=""48397""","44.49","2020-2024","2022","Census","Texas (State)"
"County","Runnels","TX","48399","=""48399""","19.13","2020-2024","2022","Census","Texas (State)"
"County","Rusk","TX","48401","=""48401""","17.53","2020-2024","2022","Census","Texas (State)"
"County","Sabine","TX","48403","=""48403""","14.32","2020-2024","2022","Census","Texas (State)"
"County","San Augustine","TX","48405","=""48405""","13.77","2020-2024","2022","Census","Texas (State)"
"County","San Jacinto","TX","48407","=""48407""","16.22","2020-2024","2022","Census","Texas (State)"
"County","San Patricio","TX","48409","=""48409""","17.53","2020-2024","2022","Census","Texas (State)"
"County","San Saba","TX","48411","=""48411""","24.01","2020-2024","2022","Census","Texas (State)"
"County","Schleicher","TX","48413","=""48413""","18.37","2020-2024","2022","Census","Texas (State)"
"County","Scurry","TX","48415","=""48415""","13.00","2020-2024","2022","Census","Texas (State)"
"County","Shackelford","TX","48417","=""48417""","34.13","2020-2024","2022","Census","Texas (State)"
"County","Shelby","TX","48419","=""48419""","15.09","2020-2024","2022","Census","Texas (State)"
"County","Sherman","TX","48421","=""48421""","30.22","2020-2024","2022","Census","Texas (State)"
"County","Smith","TX","48423","=""48423""","28.59","2020-2024","2022","Census","Texas (State)"
"County","Somervell","TX","48425","=""48425""","29.30","2020-2024","2022","Census","Texas (State)"
"County","Starr","TX","48427","=""48427""","13.58","2020-2024","2022","Census","Texas (State)"
"County","Stephens","TX","48429","=""48429""","17.22","2020-2024","2022","Census","Texas (State)"
"County","Sterling","TX","48431","=""48431""","24.49","2020-2024","2022","Census","Texas (State)"
"County","Stonewall","TX","48433","=""48433""","16.86","2020-2024","2022","Census","Texas (State)"
"County","Sutton","TX","48435","=""48435""","18.31","2020-2024","2022","Census","Texas (State)"
"County","Swisher","TX","48437","=""48437""","15.47","2020-2024","2022","Census","Texas (State)"
"County","Tarrant","TX","48439","=""48439""","34.77","2020-2024","2022","Census","Texas (State)"
"County","Taylor","TX","48441","=""48441""","29.28","2020-2024","2022","Census","Texas (State)"
"County","Terrell","TX","48443","=""48443""","26.87","2020-2024","2022","Census","Texas (State)"
"County","Terry","TX","48445","=""48445""","9.84","2020-2024","2022","Census","Texas (State)"
"County","Throckmorton","TX","48447","=""48447""","22.42","2020-2024","2022","Census","Texas (State)"
"County","Titus","TX","48449","=""48449""","16.31","2020-2024","2022","Census","Texas (State)"
"County","Tom Green","TX","48451","=""48451""","25.47","2020-2024","2022","Census","Texas (State)"
"County","Travis","TX","48453","=""48453""","56.56","2020-2024","2022","Census","Texas (State)"
"County","Trinity","TX","48455","=""48455""","16.79","2020-2024","2022","Census","Texas (State)"
"County","Tyler","TX","48457","=""48457""","12.41","2020-2024","2022","Census","Texas (State)"
"County","Upshur","TX","48459","=""48459""","18.21","2020-2024","2022","Census","Texas (State)"
"County","Upton","TX","48461","=""48461""","8.71","2020-2024","2022","Census","Texas (State)"
"County","Uvalde","TX","48463","=""48463""","19.79","2020-2024","2022","Census","Texas (State)"
"County","Val Verde","TX","48465","=""48465""","22.53","2020-2024","2022","Census","Texas (State)"
"County","Van Zandt","TX","48467","=""48467""","19.75","2020-2024","2022","Census","Texas (State)"
"County","Victoria","TX","48469","=""48469""","19.90","2020-2024","2022","Census","Texas (State)"
"County","Walker","TX","48471","=""48471""","21.57","2020-2024","2022","Census","Texas (State)"
"County","Waller","TX","48473","=""48473""","27.90","2020-2024","2022","Census","Texas (State)"
"County","Ward","TX","48475","=""48475""","12.41","2020-2024","2022","Census","Texas (State)"
"County","Washington","TX","48477","=""48477""","30.73","2020-2024","2022","Census","Texas (State)"
"County","Webb","TX","48479","=""48479""","21.38","2020-2024","2022","Census","Texas (State)"
"County","Wharton","TX","48481","=""48481""","20.73","2020-2024","2022","Census","Texas (State)"
"County","Wheeler","TX","48483","=""48483""","17.02","2020-2024","2022","Census","Texas (State)"
"County","Wichita","TX","48485","=""48485""","25.07","2020-2024","2022","Census","Texas (State)"
"County","Wilbarger","TX","48487","=""48487""","17.25","2020-2024","2022","Census","Texas (State)"
"County","Willacy","TX","48489","=""48489""","14.05","2020-2024","2022","Census","Texas (State)"
"County","Williamson","TX","48491","=""48491""","48.43","2020-2024","2022","Census","Texas (State)"
"County","Wilson","TX","48493","=""48493""","25.89","2020-2024","2022","Census","Texas (State)"
"County","Winkler","TX","48495","=""48495""","10.63","2020-2024","2022","Census","Texas (State)"
"County","Wise","TX","48497","=""48497""","22.15","2020-2024","2022","Census","Texas (State)"
"County","Wood","TX","48499","=""48499""","21.54","2020-2024","2022","Census","Texas (State)"
"County","Yoakum","TX","48501","=""48501""","20.09","2020-2024","2022","Census","Texas (State)"
"County","Young","TX","48503","=""48503""","23.99","2020-2024","2022","Census","Texas (State)"
"County","Zapata","TX","48505","=""48505""","15.18","2020-2024","2022","Census","Texas (State)"
"County","Zavala","TX","48507","=""48507""","11.09","2020-2024","2022","Census","Texas (State)"
