Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,USDA ERS Rural-Urban Continuum Codes,Data Time Period,Geographic Vintage,Data Source,Selected Location
County,Burleson,TX,48051,48051,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Burnet,TX,48053,48053,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Caldwell,TX,48055,48055,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Calhoun,TX,48057,48057,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Callahan,TX,48059,48059,3-Metro- Pop<250K,2023,2022,USDA,Texas (State)
County,Cameron,TX,48061,48061,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Camp,TX,48063,48063,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Carson,TX,48065,48065,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Cass,TX,48067,48067,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Castro,TX,48069,48069,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Chambers,TX,48071,48071,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Cherokee,TX,48073,48073,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Childress,TX,48075,48075,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Clay,TX,48077,48077,3-Metro- Pop<250K,2023,2022,USDA,Texas (State)
County,Cochran,TX,48079,48079,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Coke,TX,48081,48081,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Coleman,TX,48083,48083,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Collin,TX,48085,48085,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Collingsworth,TX,48087,48087,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Colorado,TX,48089,48089,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Comal,TX,48091,48091,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Comanche,TX,48093,48093,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Concho,TX,48095,48095,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Cooke,TX,48097,48097,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Coryell,TX,48099,48099,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Cottle,TX,48101,48101,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Crane,TX,48103,48103,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Crockett,TX,48105,48105,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Crosby,TX,48107,48107,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Culberson,TX,48109,48109,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Dallam,TX,48111,48111,7-NonMetro- 5K<=UrbanPop<20K NonMetroAdj,2023,2022,USDA,Texas (State)
County,Dallas,TX,48113,48113,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Dawson,TX,48115,48115,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Deaf Smith,TX,48117,48117,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Delta,TX,48119,48119,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Denton,TX,48121,48121,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,DeWitt,TX,48123,48123,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Dickens,TX,48125,48125,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Dimmit,TX,48127,48127,7-NonMetro- 5K<=UrbanPop<20K NonMetroAdj,2023,2022,USDA,Texas (State)
County,Donley,TX,48129,48129,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Duval,TX,48131,48131,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Eastland,TX,48133,48133,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Ector,TX,48135,48135,3-Metro- Pop<250K,2023,2022,USDA,Texas (State)
County,Edwards,TX,48137,48137,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Ellis,TX,48139,48139,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,El Paso,TX,48141,48141,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Erath,TX,48143,48143,5-NonMetro- UrbanPop>=20K NonMetroAdj,2023,2022,USDA,Texas (State)
County,Falls,TX,48145,48145,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Fannin,TX,48147,48147,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Fayette,TX,48149,48149,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Fisher,TX,48151,48151,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Floyd,TX,48153,48153,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Foard,TX,48155,48155,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Fort Bend,TX,48157,48157,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Franklin,TX,48159,48159,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Freestone,TX,48161,48161,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Frio,TX,48163,48163,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Gaines,TX,48165,48165,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Galveston,TX,48167,48167,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Garza,TX,48169,48169,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Gillespie,TX,48171,48171,7-NonMetro- 5K<=UrbanPop<20K NonMetroAdj,2023,2022,USDA,Texas (State)
County,Glasscock,TX,48173,48173,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Goliad,TX,48175,48175,3-Metro- Pop<250K,2023,2022,USDA,Texas (State)
County,Gonzales,TX,48177,48177,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Gray,TX,48179,48179,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Grayson,TX,48181,48181,3-Metro- Pop<250K,2023,2022,USDA,Texas (State)
County,Gregg,TX,48183,48183,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Grimes,TX,48185,48185,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Guadalupe,TX,48187,48187,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Hale,TX,48189,48189,4-NonMetro- UrbanPop>=20K MetroAdj,2023,2022,USDA,Texas (State)
County,Hall,TX,48191,48191,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Hamilton,TX,48193,48193,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Hansford,TX,48195,48195,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Hardeman,TX,48197,48197,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Hardin,TX,48199,48199,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Harris,TX,48201,48201,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Harrison,TX,48203,48203,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Hartley,TX,48205,48205,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Haskell,TX,48207,48207,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Hays,TX,48209,48209,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Hemphill,TX,48211,48211,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Henderson,TX,48213,48213,4-NonMetro- UrbanPop>=20K MetroAdj,2023,2022,USDA,Texas (State)
County,Hidalgo,TX,48215,48215,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Hill,TX,48217,48217,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Hockley,TX,48219,48219,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Hood,TX,48221,48221,4-NonMetro- UrbanPop>=20K MetroAdj,2023,2022,USDA,Texas (State)
County,Hopkins,TX,48223,48223,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Houston,TX,48225,48225,7-NonMetro- 5K<=UrbanPop<20K NonMetroAdj,2023,2022,USDA,Texas (State)
County,Howard,TX,48227,48227,4-NonMetro- UrbanPop>=20K MetroAdj,2023,2022,USDA,Texas (State)
County,Hudspeth,TX,48229,48229,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Hunt,TX,48231,48231,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Hutchinson,TX,48233,48233,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Irion,TX,48235,48235,3-Metro- Pop<250K,2023,2022,USDA,Texas (State)
County,Jack,TX,48237,48237,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Jackson,TX,48239,48239,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Jasper,TX,48241,48241,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Jeff Davis,TX,48243,48243,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Jefferson,TX,48245,48245,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Jim Hogg,TX,48247,48247,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Jim Wells,TX,48249,48249,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Johnson,TX,48251,48251,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Jones,TX,48253,48253,3-Metro- Pop<250K,2023,2022,USDA,Texas (State)
County,Karnes,TX,48255,48255,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Kaufman,TX,48257,48257,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Kendall,TX,48259,48259,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Kenedy,TX,48261,48261,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Kent,TX,48263,48263,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Kerr,TX,48265,48265,4-NonMetro- UrbanPop>=20K MetroAdj,2023,2022,USDA,Texas (State)
County,Kimble,TX,48267,48267,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,King,TX,48269,48269,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Kinney,TX,48271,48271,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Kleberg,TX,48273,48273,4-NonMetro- UrbanPop>=20K MetroAdj,2023,2022,USDA,Texas (State)
County,Knox,TX,48275,48275,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Lamar,TX,48277,48277,5-NonMetro- UrbanPop>=20K NonMetroAdj,2023,2022,USDA,Texas (State)
County,Lamb,TX,48279,48279,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Lampasas,TX,48281,48281,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,La Salle,TX,48283,48283,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Lavaca,TX,48285,48285,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Lee,TX,48287,48287,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Leon,TX,48289,48289,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Liberty,TX,48291,48291,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Limestone,TX,48293,48293,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Lipscomb,TX,48295,48295,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Live Oak,TX,48297,48297,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Llano,TX,48299,48299,7-NonMetro- 5K<=UrbanPop<20K NonMetroAdj,2023,2022,USDA,Texas (State)
County,Loving,TX,48301,48301,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Lubbock,TX,48303,48303,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Lynn,TX,48305,48305,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,McCulloch,TX,48307,48307,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,McLennan,TX,48309,48309,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,McMullen,TX,48311,48311,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Madison,TX,48313,48313,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Marion,TX,48315,48315,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Martin,TX,48317,48317,3-Metro- Pop<250K,2023,2022,USDA,Texas (State)
County,Mason,TX,48319,48319,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Matagorda,TX,48321,48321,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Maverick,TX,48323,48323,3-Metro- Pop<250K,2023,2022,USDA,Texas (State)
County,Medina,TX,48325,48325,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Menard,TX,48327,48327,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Midland,TX,48329,48329,3-Metro- Pop<250K,2023,2022,USDA,Texas (State)
County,Milam,TX,48331,48331,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Mills,TX,48333,48333,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Mitchell,TX,48335,48335,7-NonMetro- 5K<=UrbanPop<20K NonMetroAdj,2023,2022,USDA,Texas (State)
County,Montague,TX,48337,48337,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Montgomery,TX,48339,48339,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Moore,TX,48341,48341,7-NonMetro- 5K<=UrbanPop<20K NonMetroAdj,2023,2022,USDA,Texas (State)
County,Morris,TX,48343,48343,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Motley,TX,48345,48345,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Nacogdoches,TX,48347,48347,5-NonMetro- UrbanPop>=20K NonMetroAdj,2023,2022,USDA,Texas (State)
County,Navarro,TX,48349,48349,4-NonMetro- UrbanPop>=20K MetroAdj,2023,2022,USDA,Texas (State)
County,Newton,TX,48351,48351,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Nolan,TX,48353,48353,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Nueces,TX,48355,48355,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Ochiltree,TX,48357,48357,7-NonMetro- 5K<=UrbanPop<20K NonMetroAdj,2023,2022,USDA,Texas (State)
County,Oldham,TX,48359,48359,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Orange,TX,48361,48361,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Palo Pinto,TX,48363,48363,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Panola,TX,48365,48365,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Parker,TX,48367,48367,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Parmer,TX,48369,48369,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Pecos,TX,48371,48371,7-NonMetro- 5K<=UrbanPop<20K NonMetroAdj,2023,2022,USDA,Texas (State)
County,Polk,TX,48373,48373,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Potter,TX,48375,48375,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Presidio,TX,48377,48377,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Rains,TX,48379,48379,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Randall,TX,48381,48381,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Reagan,TX,48383,48383,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Real,TX,48385,48385,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Red River,TX,48387,48387,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Reeves,TX,48389,48389,7-NonMetro- 5K<=UrbanPop<20K NonMetroAdj,2023,2022,USDA,Texas (State)
County,Refugio,TX,48391,48391,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Roberts,TX,48393,48393,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Robertson,TX,48395,48395,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Rockwall,TX,48397,48397,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Runnels,TX,48399,48399,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Rusk,TX,48401,48401,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Sabine,TX,48403,48403,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,San Augustine,TX,48405,48405,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,San Jacinto,TX,48407,48407,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,San Patricio,TX,48409,48409,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,San Saba,TX,48411,48411,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Schleicher,TX,48413,48413,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Scurry,TX,48415,48415,7-NonMetro- 5K<=UrbanPop<20K NonMetroAdj,2023,2022,USDA,Texas (State)
County,Shackelford,TX,48417,48417,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Shelby,TX,48419,48419,7-NonMetro- 5K<=UrbanPop<20K NonMetroAdj,2023,2022,USDA,Texas (State)
County,Sherman,TX,48421,48421,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Smith,TX,48423,48423,3-Metro- Pop<250K,2023,2022,USDA,Texas (State)
County,Somervell,TX,48425,48425,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Starr,TX,48427,48427,4-NonMetro- UrbanPop>=20K MetroAdj,2023,2022,USDA,Texas (State)
County,Stephens,TX,48429,48429,7-NonMetro- 5K<=UrbanPop<20K NonMetroAdj,2023,2022,USDA,Texas (State)
County,Sterling,TX,48431,48431,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Stonewall,TX,48433,48433,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Sutton,TX,48435,48435,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Swisher,TX,48437,48437,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Tarrant,TX,48439,48439,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Taylor,TX,48441,48441,3-Metro- Pop<250K,2023,2022,USDA,Texas (State)
County,Terrell,TX,48443,48443,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Terry,TX,48445,48445,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Throckmorton,TX,48447,48447,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Titus,TX,48449,48449,7-NonMetro- 5K<=UrbanPop<20K NonMetroAdj,2023,2022,USDA,Texas (State)
County,Tom Green,TX,48451,48451,3-Metro- Pop<250K,2023,2022,USDA,Texas (State)
County,Travis,TX,48453,48453,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Trinity,TX,48455,48455,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Tyler,TX,48457,48457,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Upshur,TX,48459,48459,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Upton,TX,48461,48461,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Uvalde,TX,48463,48463,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Val Verde,TX,48465,48465,5-NonMetro- UrbanPop>=20K NonMetroAdj,2023,2022,USDA,Texas (State)
County,Van Zandt,TX,48467,48467,8-NonMetro- Pop<5K Metro Adj,2023,2022,USDA,Texas (State)
County,Victoria,TX,48469,48469,3-Metro- Pop<250K,2023,2022,USDA,Texas (State)
County,Walker,TX,48471,48471,4-NonMetro- UrbanPop>=20K MetroAdj,2023,2022,USDA,Texas (State)
County,Waller,TX,48473,48473,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Ward,TX,48475,48475,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Washington,TX,48477,48477,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Webb,TX,48479,48479,2-Metro- 250K<=Pop<1M,2023,2022,USDA,Texas (State)
County,Wharton,TX,48481,48481,4-NonMetro- UrbanPop>=20K MetroAdj,2023,2022,USDA,Texas (State)
County,Wheeler,TX,48483,48483,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
County,Wichita,TX,48485,48485,3-Metro- Pop<250K,2023,2022,USDA,Texas (State)
County,Wilbarger,TX,48487,48487,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Willacy,TX,48489,48489,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Williamson,TX,48491,48491,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Wilson,TX,48493,48493,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Winkler,TX,48495,48495,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Wise,TX,48497,48497,1-Metro- Pop>=1M,2023,2022,USDA,Texas (State)
County,Wood,TX,48499,48499,6-NonMetro- 5K<=UrbanPop<20K MetroAdj,2023,2022,USDA,Texas (State)
County,Yoakum,TX,48501,48501,9-NonMetro- Pop<5K NonMetro Adj,2023,2022,USDA,Texas (State)
